工作岗位,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司地址,企业领域,公司规模
数字IC设计（实习生）,200-300元/天,6个月,工作职责：【职责描述】1. 与芯片架构、算法团队一起定义并完成芯片算法的详细设计规格；2．基于RISC-V架构，完成RTL设计与集成并进行子系统级仿真以及Lint、CDC检查，确保代码交付质量；3．对设计对象进行综合及其相关时序、功耗、面积分析和优化；4．参与芯片验证和底层软件开发以及回片产品化相关工作。岗位要求：1. 电子、通信、计算机或微电子专业，硕士以上ASIC设计经验；2. 熟练掌握Verilog语言，对时序和功耗面积的优化有很强的理解；3. 熟悉Python/Perl/SHELL等芯片设计验证语言之一种或多种4. 扎实的逻辑设计基础，了解低功耗逻辑设计技术；5. 有过完整前端设计经历，掌握Lint、CDC、Synthesis等流程及其工具的使用； 6. 有RISC-V、 ARM（AMBA/AXI）、DSP、DDR、PCIe、USB、NoC、Ethernet其中一种IP的集成和设计经验者优先。,硕士,1人,2024-08-26 11:26,芯易荟,上海 - 闵行区 - 上海虹桥绿谷,IT|通信|电子,101~300人
新媒体运营,面议,3个月,工作职责：1. 负责运营公司新媒体账号；2.根据渠道特性，负责活动创意策划和文案策划输出；3.数据收集整理分析-输出每月数据复盘文件 参与每月项目策划， 协助平台、品牌部、门店完成营销活动宣传；4.渠道新功能研究&应用 配合主管完成其他事务。岗位要求：1.有新媒体平台的运营经验，了解至少一个新媒体平台（微信、微博、抖音、知乎等）的运行机制，能够进行数据分析和优化，有较强的传播、创新能力（有微信相关运营经验者优先考虑）；2.有优秀的文字功底和基础的图片素材处理能力；（有摄影、修图、视频剪辑等特长者优先考虑）；3.做事积极主动、责任心强，热衷于精益求精；4.对网络信息敏感，能随时知晓外界变化，且及时运用。,本科,2人,2024-09-13 09:06,势异法律,线上,咨询/法律/人力资源,11~50人
BA Manufacturing,100-140元/天,3个月,"工作职责：1.Work for central demand management and BU SCM for preparing daily, weekly and monthly reports.2. Collect and consolidate required date from each APAC markets for APAC distribution network strategy development project in a timely manner3.Ad-on hoc tasks (e.g. check forecast by using SAP) and some admin work4. Work closely with external party to check the quality of collected date and follow up with the markets if clarification is needed岗位要求：• Undergraduate with preferred major in Chemistry, Polymer materials or similar directions in STEM • Fluent in English written, speaking • Skillful with MS tools (Outlook, Excel, PowerBI, etc.)• Duration of internship: 2months (min) to 4 months, on boarding asap. At least 3 days per week, and last 3 months or more",本科,1人,2024-09-30 14:59,大陆马牌轮胎,上海 - 杨浦区 - 合生国际中心,汽车|机械|制造,301~1000人
市场部实习生（北京）,120-144元/天,3个月,工作职责：一、 企业介绍1970年创立，拥有53年历史的全球领先咨询机构，服务遍布五大洲，在26个国家设立办公室，配备专业咨询团队拥有顶尖研发团队，其中1/3为行为心理学博士。全球超过 8000 家企业使用我们的课程或人才管理解决方案来建立优秀、高效率的工作团队，以达到最佳的商业成果。近三年获奖：-       被肯尼迪咨询研究院评为“全球领先领导力咨询公司”-       2020-2021连续两年荣膺中国人才发展菁英奖-【品牌服务机构】与【新锐服务机构】by培训杂志-       2020-2021 连续两年荣膺【新旗奖】年度最佳解决方案by HRflag-       2020荣膺【第三届人才发展产品创新奖】by CSTD-       2020荣膺【大中华区最佳人才评鉴机构】（外资）by HRoot-       2019-2021 连续三年荣膺【环球影响力人力资源服务机构】by GHR 二、 职位描述-       薪资：本科生15/小时，研究生18/小时-       要求：至少3天/周 丨 实习3个月以上，尽快上岗 三、 岗位描述-       全程参与线上线下各类主题市场活动的策划推广、落地实施与效果评估-       应用数字营销系统等营销工具完成市场活动宣传、获客、数据分析-       收集与梳理行业市场信息与动态，协助基础业务数据的梳理与分析-       其他市场部支持性工作，如资料整理、会议内容整理等岗位要求：四、 职位要求-       熟练使用Office办公软件-       英语四级及以上-       积极主动，能寻求学习机会并尽快适应工作；对工作认真负责，学习能力强，有较强的沟通能力-       大学本科三年级在读及以上你将获得：-       实习生身份、全职化培养，实习期即可收获全职经验；专职Mentor带教，快速融入不慌张-       茶水间的饮料点心随意自取，公司整体工作氛围超好。-       DDI智睿咨询致力于帮助全球众多最成功的机构建立敬业、高绩效的工作团队。想进咨询行业的同学千万不要错过。,本科,1人,2024-09-30 09:30,DDI,北京 - 朝阳区 - 北京市朝阳区光华东里8号中海广场2918,咨询/法律/人力资源,11~50人
Controlling Intern (...,面议,4个月,"工作职责：- Collect and analyze China market data via internal database- Update and send out daily market sales reports- Support on monthly and quarterly financial reports- Build financial report template and charts- Support the controlling team with other related work.岗位要求：- Familiar with Excel (VLOOKUP, Pivot table, Sum if)- Proficiency in both written and oral English- Detail-oriented, careful, self-motivated and good communication skills- Can work at least 4 months (6 months is preferred), 3-5 days a week (Full time is preferred) and can be on board as soon as possible.- Payment: 15/h for undergraduate; 20/h for postgraduate.你将获得：- Get involved in Financial Controlling Department in a Fortune-500 Company;- Learn more about financial reports and company operation- Build your business mindset and analytical skills",本科,2人,2024-09-27 14:22,大陆马牌轮胎,上海 - 杨浦区 - 合生国际中心,汽车|机械|制造,301~1000人
先进制造投资研究岗实习岗,1-2元/天,3个月,工作职责：【工作职责】主要协助研究员完成投资研究分析任务，包括行业分析、投资标的公司分析、日常会议纪要、数据库更新等。岗位要求：【任职资格】1、大四保研或研究生在读（不限985/211），每周可实习4天及以上，至少能实习3个月，base上海。2、金融/相关理工科背景，刻苦勤奋，能承受较大工作压力和挑战。3、靠谱、诚信，有志从事投研者优先。【潜在收获】1、国资背景投资机构投研实习经历，正式录用后可签署正式实习协议，实习满3个月并且符合公司及带教老师要求，可开具正式实习证明；2、研究员手把手带教，掌握先进制造行业研究和投资方法论。【工作地点】岗位为线上远程实习岗位，线下仅提供参观体验。【特别说明】1.岗位无实习薪资；2.岗位不提供留用答辩机会，求职期童鞋慎重；【简历投递】欢迎自荐及推荐，有兴趣的同学请将简历投递至louyu@v-capital.cn，标题格式：姓名+学校+专业+毕业时间+最快到岗时间，条件合适将尽快安排面试。你将获得：【潜在收获】1、国资背景投资机构投研实习经历，正式录用后可签署正式实习协议，实习满3个月并且符合公司及带教老师要求，可开具正式实习证明；2、研究员手把手带教，掌握先进制造行业研究和投资方法论。,硕士,1人,2024-08-11 15:53,一村资本,全国,金融,101~300人
剪辑实习生,150-250元/天,3个月,工作职责：【岗位职责】1、根据内容策划的选题，完成视频号的视频剪辑；2、协同策划和编导完成视频项目制内容的剪辑。岗位要求：【任职要求】1、做过访谈片、纪录片、微电影、创意视频等不同类型的视频形式，有相关的内容代表作品。（投递简历请附上视频作品链接或个人主页）2、阅片海量，视野开阔，审美较好，热爱内容行业；3、认真踏实，逻辑清晰，沟通协调能力、抗压能力强。,本科,1人,2024-08-29 15:41,新世相,北京 - 朝阳区 - 望京东金辉大厦,广告|传媒|文化|体育,301~1000人
活动执行助理,100-150元/天,3个月,工作职责：岗位职责：1、负责对接线上线下项目实施工作，包括活动发布，审核，咨询答疑，电话跟进等日常工作；2、协助区域活动项目交付实施；3、负责项目现场执行工作；4、针对项目进行总结分析；5、负责落实交代的其他服务工作任务；岗位要求：岗位要求：1、专科及以上学历，专业不限，有活动执行、客服、服务员、助理及熟悉创客贴等制图软件经验优先；2、具备较强的应变能力，口头表达与沟通能力，有服务意识；3、熟练操作办公软件（Word、Excel、PPT等），有一定PPT制作能力；4、工作严谨细心，计划性强，善于分析思考问题，有责任心；简历投递邮箱：刘老师  liuy@bibibi.net,大专,2人,2024-08-21 15:47,云研科技,广州 - 天河区 - 广东省广州市天河区黄埔大道中科拓众创空间2楼,互联网|游戏|软件,101~300人
人力资源实习生（招聘相关）,3-4K/月,3个月,工作职责：1. 协助业务岗位招聘，包括简历筛选、邀约面试、安排入职等流程；2. 协助招聘相关的数据分析工作；3. 协助推进组织人才发展项目落地实施；4. 协助人力资源部其他工作。岗位要求：1. 本科及以上学历，人力资源相关专业优先；2. 每周至少可实习5天优先，可实习4个月以上；3. 能够熟练操作Excel、PowerPoint等办公软件，具备数据分析能力优先；4. 具备良好的英语听说写能力。你将获得：资深导师一对一带教，表现优异同学有转正机会或优先推荐其参加25届校招管培生，若考虑携程集团内其他区域/事业部岗位，也可优先推荐！,本科,1人,2024-08-14 19:11,北京携程国际旅行社有限公司,北京 - 朝阳区 - 北京市朝阳区酒仙桥北路甲10号院电子城IT产业园C304号楼,生活服务,100-499人
少儿编剧,200-400元/天,3个月,工作职责：面向3-5岁儿童的原创故事编剧，有少儿文学相关经验，有创造力、童趣1.整理剧本，修改剧本2.能独立编写一集的【少儿广播剧剧本】岗位要求：1.有良好的文字处理能力2.有少儿文学阅读、学习、创作经验3.想象力丰富，幽默4.每周线下3天,本科,2人,2024-09-03 10:37,发现时空,北京 - 朝阳区 - 十里河地铁站,互联网|游戏|软件,11~50人
儿童故事编辑,300-400元/天,3个月,工作职责：工作内容：创作儿童广播剧剧本线上+线下工作，高薪，灵活！必须要能线下，每周工作日至少2天！岗位要求：工作要求：1.汉语言文学、历史相关专业毕业2.有较强的学习能力、语言文字功底强3.有儿童文学创作经验优先【必须要线下试岗，试岗地点北京十里河地铁站】薪资：月结，每天300元，优秀者有奖金！,本科,3人,2024-09-03 10:36,发现时空,北京 - 朝阳区 - 德元九和大厦1015,互联网|游戏|软件,11~50人
项目助理实习生（北京）,120-144元/天,3个月,工作职责：职位描述       实习生在工作期间不仅能深入了解咨询行业，还有机会接触各行业高端人才。公司内部的工作氛围良好，实习生有机会获得专业方面的培养并独立完成项目任务，能够在计划和组织能力及专业知识方面得到较大的提升。 一、基本工作职责：1. 线上测评项目：例如开设账号、设置系统、更新测评状态、导出测评报告等；2. 线下测评项目：计划与管理测评安排、接待候选人、整理测评材料、汇总测评结果等；3. 培训项目：线上及线下的培训支持，准备物料，预定讲师时间，收集培训反馈等；4. 其他工作：项目经理布置的其他保证项目正常运行的工作，仅限工作领域内容；5. 进阶工作：辅助项目运营管理，初步数据及资料分析，设计客制化材料等。岗位要求：二、个人特质及能力要求：1. 在读本科生或者在读硕士生，可保证实习3天/周；2. 细致认真，对自己工作高标准严要求；3. 良好的逻辑思维，语言表达和理解能力，4. 积极主动，有上进心，热爱学习新知识；5. 吃苦耐劳，踏实有耐心，可接受偶尔加班的情况；6. 熟练使用office办公软件，英语四级及以上水平；你将获得：美企咨询公司全流程运营模式，和客户高管直接对话，提成计划与组织能力，学习能力，客户导向能力，职场话术能力等。经验丰富同事做mentor，给与观察和反馈。,本科,2人,2024-09-26 11:57,DDI,北京 - 朝阳区 - 北京市朝阳区光华东里8号中海广场2918,咨询/法律/人力资源,11~50人
项目助理实习生（广州）,120-144元/天,3个月,工作职责：职位描述       实习生在工作期间不仅能深入了解咨询行业，还有机会接触各行业高端人才。公司内部的工作氛围良好，实习生有机会获得专业方面的培养并独立完成项目任务，能够在计划和组织能力及专业知识方面得到较大的提升。 一、基本工作职责：1. 线上测评项目：例如开设账号、设置系统、更新测评状态、导出测评报告等；2. 线下测评项目：计划与管理测评安排、接待候选人、整理测评材料、汇总测评结果等；3. 培训项目：线上及线下的培训支持，准备物料，预定讲师时间，收集培训反馈等；4. 其他工作：项目经理布置的其他保证项目正常运行的工作，仅限工作领域内容；5. 进阶工作：辅助项目运营管理，初步数据及资料分析，设计客制化材料等。岗位要求：二、个人特质及能力要求：1. 在读本科生或者在读硕士生，可保证实习3天/周；2. 细致认真，对自己工作高标准严要求；3. 良好的逻辑思维，语言表达和理解能力，4. 积极主动，有上进心，热爱学习新知识；5. 吃苦耐劳，踏实有耐心，可接受偶尔加班的情况；6. 熟练使用office办公软件，英语四级及以上水平；你将获得：美企咨询公司全流程运营模式，和客户高管直接对话，提成计划与组织能力，学习能力，客户导向能力，职场话术能力等。经验丰富同事做mentor，给与观察和反馈。,本科,1人,2024-09-26 11:57,DDI,广州 - 番禺区 - 南村镇兴业大道1号10栋,咨询/法律/人力资源,11~50人
财务部实习生,120-144元/天,3个月,工作职责：- 审核报销及付款申请，整理已付款凭证并归档；- 对已审核通过的报销和付款做台账；- 发票开具；填写付款通知书；- 每月底核对进项税抵扣；- 差旅费抵扣调整及归档；- 整理收款凭证及归档；- 配合审计工作；- 工会账务录入及归档- 其他交付的工作。岗位要求：- 常用的office办公软件的熟练使用，具有基本的Excel技能；- 英文良好，英语四级及以上；- 细致认真，沟通能力强，对自己工作高标准严要求； - 积极进取，吃苦耐劳，踏实有耐心； - 热爱学习新知识，愿意接受别人的指导。- 财务相关专业北京的在校本科生或研究生； - 工作至少3个月以上，每周不少于3天。,本科,1人,2024-09-26 11:57,DDI,北京 - 朝阳区 - 北京市朝阳区光华东里8号中海广场2918,咨询/法律/人力资源,11~50人
SEM Marketing Intern,100-120元/天,3个月,"工作职责：Responsibilities:1. Monitor and track Google/Bing/Linkedin paid campaigns on a daily basis.2. Analyze campaign performance including impressions, clicks, conversions, and other relevant metrics.3. Prepare detailed daily reports on campaign performance, highlighting successes, failures, and areas for improvement.4. Identify trends and insights from the data and make recommendations for future campaigns.5. Collaborate with the marketing team to optimize SEM marketing strategies.岗位要求：1. General understanding of Google/Bing/Linkedin Ads.2. Excellent written and verbal communication skills.3. Strong analytical skills and attention to detail.4. Ability to work independently and as part of a team.5. Ability to handle multiple tasks and meet deadlines in a fast-paced environment.6. Interest in digital marketing and a desire to learn more about the industry.7. Strong understanding of Microsoft Office Suite.",本科,3人,2024-09-03 07:49,上海曦牛,全国,IT|通信|电子,51~100人
国际新闻编辑实习生,50-80元/天,3个月,工作职责：1.每日浏览外电外报，编译国际新闻微博及稿件；2.参与国际突发事件报道，及原创策划报道、采访等；3.参与维护专家资源库资源。岗位要求：1.新闻、传媒、中文、外语等专业统招大学在校学生，大学英语六级、英语专业四级或更高水平；2.对国际新闻、国际关系、国际形势有浓厚兴趣，具备较强的文字编辑功底；3.熟练操作PR，PS等视频、图片制作软件优先。你将获得：1.有机会接触中央重点新闻网站主要工作，了解实际情况，提升实践能力；2.优秀的同事和良好的工作氛围；3.对于工作表现突出或主要参与者，在调研报告或新闻产品中署名；4.提供一定的实习补贴；5.实习期满开具实习证明。,本科,2人,2024-08-19 16:05,中新网,北京 - 西城区 - 百万庄南街12号中国新闻社,广告|传媒|文化|体育,101~300人
视频剪辑实习生,50-80元/天,3个月,工作职责：1.拍摄、剪辑视频，制作相关视觉化产品；2.制作创意产品，如图解、海报等；3.参与部门负责领域的选题策划、素材收集、整理编辑等工作；4.协助完成部门其他工作。岗位要求：1.熟练掌握摄影、‌摄像技能，具有视频拍摄、‌剪辑的丰富经验及成果，能独立完成采访拍摄任务；2.掌握一定的视频拍摄剪辑理论知识，‌了解影视构图、‌光线、‌色彩等基本要素，‌具备良好的画面节奏感和音乐感；3.需要熟练掌握至少一种视频剪辑软件，‌如剪映、Adobe Premiere、‌Final Cut Pro等，‌具备良好的审美观和创意能力，‌能够独立完成视频剪辑工作；4.熟悉影像后期制作流程，‌包括调色、‌音效剪辑、‌特效制作等；5.具备一定新闻素养，了解新闻采访视频拍摄、剪辑流程，有作品者优先。你将获得：1.有机会接触中央重点新闻网站主要工作，了解实际情况，提升实践能力；2.优秀的同事和良好的工作氛围；3.对于工作表现突出或主要参与者，在调研报告或新闻产品中署名；4.提供一定的实习补贴；5.实习期满开具实习证明。,本科,2人,2024-08-19 16:01,中新网,北京 - 西城区 - 百万庄南街12号中国新闻社,广告|传媒|文化|体育,101~300人
微信编辑实习生,50-80元/天,3个月,工作职责：1.负责网微信平台账号运营工作，维系并提升用户关系，提高用户活跃度以及粘性；2.参与日常视频选题策划，能够对热点事件有深入理解和分析；3.负责账号数据分析工作，包括相关数据提取、整理、统计、分析等工作；并能通过数据分析及时挖掘业务问题。岗位要求：1.对热点新闻有敏锐的感知，全日制统招本科及以上学历，中文、新闻等相关专业优先；2.新闻敏感性好，网感佳，原创能力强，具备良好的文字功底，善于挖掘热点和话题点；3.能够熟练使用PR、PS等视频、图片制作软件；4.能适应高强度工作，具备良好的团队合作意识，具有较强的主动性和创造性，良好的沟通能力以及较强的责任心。你将获得：1.有机会接触中央重点新闻网站主要工作，了解实际情况，提升实践能力；2.优秀的同事和良好的工作氛围；3.对于工作表现突出或主要参与者，在调研报告或新闻产品中署名；4.提供一定的实习补贴；5.实习期满开具实习证明。,本科,1人,2024-08-19 15:53,中新网,北京 - 西城区 - 百万庄南街12号中国新闻社,广告|传媒|文化|体育,101~300人
