工作岗位,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司地址,企业领域,公司规模,年份,省份
河北大区-实习生主导-团队负责人,225,3个月,： 远程 实习 — — 镜习 接受 【 2021 年 暑期 实习生 】 投资 ， 坚持 由 【 实习生 主导 】 创新 项目 ， 招聘 实习生 主导 架构 区域 负责人 团队 ， 每个 大区 由 3 - 5 人 组成 负责人 团队 （ 河北 大区 ） ： 1 . 管理 河北 区域 内 赛事 组织 团队 参赛 团队 ； 2 . 负责 区域 内 赛事 组织 团队 招聘 、 赛事 宣传 管理 3 . 赛事 组织 团队 提供 支持 ， 收集 反馈 ， 完成 重要 信息 上传下达 ； ： 【 河北 高校 在读 、 熟悉 本地 高校 市场 ， 相关 校园 人 脉 资源 优先 】 1 . 性格 坚韧 、 外向 ， 口齿清晰 、 语言表达 能力 好 ， 具备 超强 抗压 能力 ； 2 . 熟悉 实习生 主导 组织 架构 ， 明确 任务 目标 ； 3 . 具备 团队 合作 精神 组织 沟通 能力 ， 校内 / 校外 管理 经验 者 优先 ； 4 . 相对 于 公司 来说 远程 线上 ， 时间 最短 持续 到 23 年终 ； 5 . 特别 优秀 可 放宽 条件 。 ： ： 1 .   可能 最具 成长 价值 实习 证明 ， 直接 公司 创始人 团队 对接 ， get 项目 / 赛事 管理 经验 ； 2 .   努力 之下 ， 一份 非常 可观 薪资 收入 ； 3 .   一段 非凡 实习 经历 ， 项目 由 实习生 主导 ， 公司 氛围 年轻化 、 轻松愉快 ， 不 定时 头脑 风暴 、 思维 冲撞 ； 4 .     镜习 已 推行 实习 伙伴 持股 计划 ， 表现 卓越 伙伴 机会 公司 股权 奖励 （ 目前 已有 10 位 表现 卓越 实习 伙伴 成为 公司 正式 合伙人 ） 。 加入 大厂 ， 不如 我们 建 一家 大厂 ！ 欢迎 追求 卓越 伙伴 投递 【 招聘 流程 — — 简历 投递 — — 宣讲 — — 笔试 — — 面试 — — 录用 】,本科,3,2024-10-03,镜习科技,石家庄省长安区石家庄铁道大学,互联网|游戏|软件,101~300人,2024,石家庄
海南大区-实习生主导-团队负责人,225,3个月,： 远程 实习 — — 镜习 接受 【 2021 年 暑期 实习生 】 投资 ， 坚持 由 【 实习生 主导 】 创新 项目 ， 招聘 实习生 主导 架构 区域 负责人 团队 ， 每个 大区 由 3 - 5 人 组成 负责人 团队 （ 海南 大区 ） ： 1 . 管理 海南 区域 内 赛事 组织 团队 参赛 团队 ； 2 . 负责 区域 内 赛事 组织 团队 招聘 、 赛事 宣传 管理 3 . 赛事 组织 团队 提供 支持 ， 收集 反馈 ， 完成 重要 信息 上传下达 ； ： 【 海南 高校 在读 、 熟悉 本地 高校 市场 ， 相关 校园 人 脉 资源 优先 】 1 . 性格 坚韧 、 外向 ， 口齿清晰 、 语言表达 能力 好 ， 具备 超强 抗压 能力 ； 2 . 熟悉 实习生 主导 组织 架构 ， 明确 任务 目标 ； 3 . 具备 团队 合作 精神 组织 沟通 能力 ， 校内 / 校外 管理 经验 者 优先 ； 4 . 相对 于 公司 来说 远程 线上 ， 时间 最短 持续 到 23 年终 ； 5 . 特别 优秀 可 放宽 条件 。 ： ： 1 .   可能 最具 成长 价值 实习 证明 ， 直接 公司 创始人 团队 对接 ， get 项目 / 赛事 管理 经验 ； 2 .   努力 之下 ， 一份 非常 可观 薪资 收入 ； 3 .   一段 非凡 实习 经历 ， 项目 由 实习生 主导 ， 公司 氛围 年轻化 、 轻松愉快 ， 不 定时 头脑 风暴 、 思维 冲撞 ； 4 .     镜习 已 推行 实习 伙伴 持股 计划 ， 表现 卓越 伙伴 机会 公司 股权 奖励 （ 目前 已有 10 位 表现 卓越 实习 伙伴 成为 公司 正式 合伙人 ） 。 加入 大厂 ， 不如 我们 建 一家 大厂 ！ 欢迎 追求 卓越 伙伴 投递 【 招聘 流程 — — 简历 投递 — — 宣讲 — — 笔试 — — 面试 — — 录用 】,本科,3,2024-10-03,镜习科技,海口省秀英区海南大学,互联网|游戏|软件,101~300人,2024,海口
增长团队实习生,200,2个月,： SurprizeX 互联网 项目 即将 上线 ， 跟随 团队 从 0 到 1 ， 产品 性价比 高 ， 一定 挑战性 ， 同时 会 以往 实习 不同 全新 收获 ， 希望 实习生 共同 成长 ， 让 实习生 更 价值 。 增长 小组 实习生 1 . 负责 所在城市 团队 主要 成员 组建 管理 ； 2 . 直接参与 并 组织 全国 业务 大赛 ， 推进 本地 业务 增长 ； 3 . 配合 团队 获取 整合 所在城市 商圈 信息 ， 提供 合作 授权 前期 信息 服务 ， 负责 公司 产品 销售 及 推广 ； 4 . 熟练掌握 公司 产品 适用 授权 合作 范围 使用 方法 ； 5 . 管理 维护 老客户 ， 发掘 新 客户 ， 扩大 销售 范围 ； ： 1.18 周岁 以上 ， 专业 不 限 ， 男女 不 限 ， 销售 经验 优先 ； 2 . 性格 坚韧 ， 思维 敏捷 ， 具备 一定 抗压 能力 ； 3 . 口齿清晰 、 表达能力 较 好 ， 一定 亲和力 ； 4 . 责任心 ， 积极 乐观 ， 团队 合作 精神 ； 5 . 外联 经验 加 分 。 ： 1 . 细致 实习 培训 ； 2 . 沟通 谈判 技巧 反复 磨练 ； 3 . 优秀 创新 想法 内部 验证 机会 ； 4 . 长期 跟进 团队 项目 ； 5 . 公司 给予 优秀 实习生 长期 力所能及 支持 。,本科,10,2024-09-30,镜习科技,省,互联网|游戏|软件,101~300人,2024,
行业研究分析实习生,115,3个月,： 1 .   协助 目标 行业 标杆 企业 相关 资料 及 数据 快速 收集 整理 分析 ； 2 .   协助 分行业 / 赛道 / 企业 / 管理 领域 相关 课题 研究 ； 3 .   协助 PPT 报告 编绘 及 相关 材料 撰写 ； 4 .   公司 安排 其他 。 ： 1 .   本科 或 研究生 在读 ， 985 / 211 优先 ， 经管类 专业 优先 ； 证券 、 咨询 实习 经验 ， 或 行研 项目 经验 优先 ； 3 .   熟练 使用 PPT 、 EXCEL 、 WORD office 办公 软件 ， PPT 排版 结构 熟悉 ， 能 快速 逻辑 完成 PPT 编制者 优先 ； 4 .   具备 较强 逻辑思维 判断能力 ， 数据处理 文字 组织 能力 ； 5 .   积极主动 ， 善于 沟通 ， 责任心 自驱力 ， 抗 压力 强 。 3 .   远程 实习 ， 尽快 到 岗 ， 每周 不少 于 4 天 （ 可 周末 ） ， 能 稳定 实习 3 个 月 以上 ； ： 1 .   实习 补助 + 专题 奖励 ， 可 随 时间 能力 阶梯式 上调 2 .   行研 方法 行业 知识 学习 3 .   专业 老师 带教 ， 成长 空间 大 ， 团队 氛围 好,本科,5,2024-09-23,鼎帷咨询,省,咨询/法律/人力资源,11~50人,2024,
人事实习生,115,3个月,： ： 1 、 根据 职位 简历 初筛 、 面试 邀约 ， 并 做好 相关 数据 记录 汇总 ； 2 、 协助 处理 员工 关系 相关 事宜 ， 员工 档案管理 ； 3 、 协助 员工福利 员工 关怀 相关 事宜 ； 4 、 分享 创意 ， 参与 会议 会务 、 节日 、 年会 大型 活动 组织 、 策划 实施 ； 5 、 完成 部门 交办 其他 人力 事项 。 ： 任职 资格 ： 1 、 本科 及 以上 在读 ， 专业 不 限 ； 2 、 积极向上 ， 具备 优秀 沟通 、 组织 能力 较 强 文字 功底 ； 3 、 性格开朗 、 举止大方 ； 4 、 能 熟练 运用 相关 办公 软件 。,本科,1,2024-09-23,pH7,上海省长宁区安顺路88号,广告|传媒|文化|体育,51~100人,2024,上海
市场运营实习生,125,3个月,： 1 、 协助 负责 公司 活动 内容 ， 包括 选题 策划 ， 执行 撰文 ， 落地 执行 、 数据 复盘 ； 2 、 其他 同事 合作 协调 多 平台 运营 ， 比如 小红书 、 知乎 、 公众 号 ； 3 、 寻找 行业 内 koc / kol 并 对接 活动 ； 4 、 品牌 方 洽谈 合作 并 落地 ； 3 、 协助 完成 其他 交办 事项 ； 4 、 上班时间 ： 9 : 30 - 6 : 30 。 ： 1 、 每周 工作日 可 上班 天数 ≥ 3 天 ， 至少 两天 连续 上班 ； 2 、 本科 以上 ， 经验 不 限 ； 3 、 好 沟通 ， 踏实 勤恳 情商 ~ 加 分项 ： 1 、 撰文 经历 ； 2 、 会 拍摄 、 会 后期 修图 ； 3 、 运营 小红书 、 微博 、 公众 号 经验 ； 4 、 一周 5 天 全勤 。 ： 1 、 创业 圈 任何 资源 ； 2 、 时不时 会 当下 最新 最 潮流 最高 科技 母婴 用品 、 玩具 （ 乐高 ） 、 儿童用品 ， 自用 送人 两不误 : ) ； 3 、 逢年过节 伴手 礼 ； 4 、 表现 优异者 ， 可 提供 转正 ， 甚至 能 帮忙 落户 ； 5 、 交通 方便 ， 人民广场 南京东路 地铁站 之间 。,本科,1,2024-10-03,断舍哩,上海省黄浦区北京东路668号(黄浦科创)科技京城G区7楼,互联网|游戏|软件,11~50人,2024,上海
猎头实习生,230,长期,： 1 . 根据 客户 所在 行业 ， 客户 需求 以及 目标 职位 分析 ， 拟定 一套 完善 用人 寻访 目标 公司 候选人 寻访 方案 2 . 执行 寻访 计划 ， 筛选 面试 候选人 ， 初步 甄别 候选人 目标 职位 匹配 度 3 . 沟通 候选人 职位 意向 ， 职业生涯 发展 规划 4 . 撰写 候选人 人才 推荐 报告 ， 推荐 候选人 5 . 协调 客户 公司 候选人 面试 安排 ， 跟进 面试 进展 及时 反馈 面试 过程 问题 6 . 提供 候选人 背景 调查 ， 辅助 候选人 离职 7 . 客户 候选人 后续 跟踪 反馈 ： 猎头公司 ， 成员 全部 由前 世界 500 强 猎头公司 组成 ， 外企 央企 国企 民企 大 集团 招聘 猎头 （ 可 实习生 或 寻访 员 R 开始 ) ， 猎头 行业 较 强烈 热情 及 兴趣 ， 猎头 经验 或 寻访 员 （ Researcher 经验 ） 者 佳 无可 培养 ， 实习生 一周 需能 保证 三天 出勤 。 地点 ： 静安寺 。 待遇 佳 哦 ！ 小 公司 也 只有 肯定 比较 高 高 收入 自由度 来 吸引 能力 了 呦 。 。 1 . 统招 本科 或 硕士 学历 ， 性别 不 限 ， 专业 不限 2 . 适应力 强 ， 稳定性 好 ， 愿意 中高级 人才 推荐 行业 长期 发展 3 . 沟通 技巧 客户服务 技巧 良好 4 . 具有 强烈 实现 个人 成就 意识 5 . 能 积极 应对 挫折 压力 ， 乐于 接受 挑战 6 . 优秀 学习 能力 ， 及 逻辑 辨析 能力 7 . 自我 驱动 ， 结果 导向 8 . 良好 团队 意识 ， 注重 团队 合作 ： 猎头公司 ， 成员 全部 由前 世界 500 强 猎头公司 组成 ， 外企 央企 国企 民企 大 集团 招聘 猎头 （ 可 实习生 或 寻访 员 R 开始 ) ， 猎头 行业 较 强烈 热情 及 兴趣 ， 猎头 经验 或 寻访 员 （ Researcher 经验 ） 者 佳 无可 培养 ， 实习生 一周 需能 保证 三天 出勤 。 地点 ： 静安寺 。 待遇 佳 哦 ！ 小 公司 也 只有 肯定 比较 高 高 收入 自由度 来 吸引 能力 了 呦 。 。,本科,3,2024-09-29,赛启咨询,上海省静安区上海市静安区愚园路168号环球世界大厦3106室,咨询/法律/人力资源,11~50人,2024,上海
跨境电商运营,100,长期,： 1 、 选品 、 上架 产品 2 、 产品 标题 、 详情 、 内容 编辑 3 、 产品 优化 、 完善 、 推广 ： 1 、 审美 2 、 市场 洞察 3 、 英语 可线 上 实习 。,本科,3,2024-09-30,众智优才,省,咨询/法律/人力资源,11~50人,2024,
品控审核实习生,135,3个月,： 岗位职责 ： 1 、 负责 检测 师 检测 车辆 过程 中 录制 音频 视频 内容 风控 审核 ； 2 、 识别 记录 音视频 中 存在 违规 内容 ； 3 、 识别 出来 信息 汇中 分类 上报 ， 平台 提高 准确率 提供 建议 ； 4 、 遵守 审核 流程 保密 规则 ， 确保 合规性 信息 安全性 ； 5 、 其他 项目 支持 ； ： 1 、 大专 及 以上 在校生 ， 会 熟练 使用 办公 软件 基础 excel 表格 处理 ； 2 、 周一 至 周日 可 提供 4 天及 以上 出勤 ， 上班时间 ： 10 : 00 - 19 : 00 ， 可 兼职 实习 3 个 月 3 、 具备 良好 沟通 表达能力 ， 能够 准确 表达 审核 意见 ； 4 、 具备 较强 责任心 职业 素养 ， 能 承受 一定 压力 。 ： 实习期 满可开 实习 证明 ， 实习 津贴,大专,15,2024-09-11,中智职业发展有限公司,北京省朝阳区东风南路898号,咨询/法律/人力资源,301~1000人,2024,北京
编辑实习生,125,3个月,： 我们 一同 文化 、 创意 或 商业 相关 内容 策划 、 选填及 创作 报道 。 ： 文笔 逻辑 清晰 ， 英文 读写 优秀 ， 具 国际 视野 ， 好奇心 旺盛 。 优秀 媒体 经验 者 优先 。,本科,2,2024-09-26,TOPYS,深圳省南山区华侨城创意园,广告|传媒|文化|体育,11~50人,2024,深圳
平面设计实习生,166,3个月,： 1 ） 协助 完成 完整 品牌设计 项目 （ 包括 ： VI 、 广告 、 网页 设计 ） ， 2 ） 协助 TOPYS 全 平台 内容 视觉 创作 ， 包括 线上 重大 活动 、 商业 合作项目 线下 活动 体验 设计 ； 3 ） 参与 TOPYS 品牌 推广 设计 ； 4 ） 参与 原生 内容 策划 、 视觉 设计 ， 方案 落地 ； 5 ） 参与 研发 创新性 内容 产品 。 ： 1 ） 具备 优秀 艺术 素养 ， 视野 开阔 ， 丰富 想象力 ， 设计 、 创意 领域 浓厚兴趣 ； 2 ） 乐于 沟通 ， 良好 责任心 ， 能够 独立思考 独立 解决问题 能力 ； 3 ） 熟练 使用 Photoshop 、 Indesign 、 Illustrator 、 sketch 相关 软件 。 4 ） 摄影 、 插画 、 motion   graphic 、 影视 后期 方面 独特 技能 优先 考虑 。 备注 ： 投 简历 时请 附上 相关 作品 ！ ！ ！ 谢谢 ！ ： 1 、   业内 优秀 创意 人 做 同事 ； 成长 迅速 ， 可 参加 每周五 由 公司 高层 及 业内 创意 大 咖 开展 培训 讲座 2 、   由 公司 承办 各 大型 策展 项目 实践 经历 3 、   合理 薪资 ； 各种 节日 都 豪华 加餐 及 团建 活动 ， 每日 下午茶 及 每 月底 员工 生日会 4 、   地处 OCT   LOFT ， 办公 环境 轻松 格调 ， 经常 公司 内部 赠送 live 现场 及 各大 展览 门票 5 、   具体 介绍 可 关注 顶尖 文案 TOPYS 公众 号 了解 详情,本科,1,2024-09-26,TOPYS,深圳省南山区华侨城文化创意园A4栋305,广告|传媒|文化|体育,11~50人,2024,深圳
策划实习生,166,3个月,： 参与 TOPYS 商业 品牌 策划 1 、 负责 市场 动向 、 竞品 品牌 内容 搜集 分析 ； 2 、 参与 品牌 活动 主题 、 内容 创意 策划 ， 贡献 脑洞 想法 ； 3 、 参与 活动 传播 策划 ， 包括 但 不 局限于 媒介 / KOL 筛选 、 Brief 撰写 、 传播 文案 撰写 ； 4 、 协助 项目组 完成 品牌 合作方 对接 沟通 。 ： 1 、 餐饮 、 非标 文化 商业 感兴趣 2 、 活跃 于 社交 媒体 ， 创意 表达 热情 3 、 具备 品牌 兼 消费者 双向 服务 思维 ， 广告 、 营销 、 文化 管理 专业 优先 4 、 思维 灵活 ， 逻辑 清晰 ， 主观 能动性 5 、 细心 耐心 ， 良好 内外 沟通 组织 能力 ： 1 ） 迅速 接触 文化 创意 内容 行业 ， 机会 国际 优秀 公司 或 团队 合作 ； 2 ） 创新 内容 多元 ， 帮 职场 初期 找到 发展 方向 ； 3 ） 成为 TOPYS 正式 员工 或 BOSS 推荐信 。,本科,1,2024-09-26,TOPYS,深圳省南山区华侨城创意园,广告|传媒|文化|体育,11~50人,2024,深圳
HR实习生,150,3个月,： 1 、 招聘 ： 协助 招聘 全 流程 ， 包含 简历 搜索 、 电话 邀约 、 面试 、 面试 反馈 相关 。 2 、 人事 运营 ： 协助 员工 入离 调转 、 考勤 、 实习生 管理 、 数据 整理 。 3 、 活动 支持 ： 协助 相关 活动 组织 ， 活动 宣传 。 4 、 配合 完成 人力资源 其他 。 ： 1 、 全日制 本科 及 以上学历 ， 2025 届 在读 学生 ； 2 、 每周 至少 可以 上班 5 天 ； 3 、 踏实 认真 ， 具备 一定 沟通 表达能力,本科,5,2024-09-06,用友,北京省海淀区北京市海淀区北清路68号用友产业园,互联网|游戏|软件,3001人及以上,2024,北京
工艺生产实习生,125,6个月,： 1 . 协助 制定 工艺 文件 数据 ； 2 . 协助 工程师 实验 工艺 调试 ；   3 . 编写 WI 作业 指导书 。 ： 1 . 本科 及 以上 ， 机械工程 、 工业 工程 类 相关 专业 ； 2 . 语言 ： 英语 可以 读写 3 . 实习 ： 暑期 可 全职 实习 或 每周 实习 三天 以上 ： 1 . 公司 饭堂 ， 免费 提供 午 晚餐 ， 提供 外宿 补贴 。 2 . 上下班 期间 提供 广州 （ 天河 、 番禺 ） 佛山 （ 禅城 、 南海 ） 、 三水 （ 西南 ） 指定 路线 班车 接送 ； 3 . 周末 双休 ， 专业培训 ， 节日 福利 ， 年度 旅游 ， 商业保险 ， 团队 活动 。,本科,1,2024-09-09,法雷奥佛山冷却,佛山省三水区法雷奥发动机冷却(佛山)有限公司三水中心科技工业区B区56号地(尚高卫浴旁),汽车|机械|制造,301~1000人,2024,佛山
物流实习生,125,3个月,： 1 . 跟进 物流 订单 实施 、 操作 及 物料 跟进 ； 2 . 安排 日志 仓库 电子系统 应用 ； 3 . 协助 记录 协议 ， 并 PTM 跟进 ; ： 1 . 在读 本科生 ， 物流 、 贸易 相关 专业 ； 2 . 英语 良好 ， 可 读写 ； 3 . 熟练 使用 Office 办公 软件 ； 4 . 态度 积极 ， 踏实 肯干 ； 5 . 长期 实习 优先 。 ： 1 . 公司 饭堂 ， 免费 提供 午 晚餐 ， 提供 外宿 补贴 。 2 . 上下班 期间 提供 广州 （ 天河 、 番禺 ） 佛山 （ 禅城 、 南海 ） 、 三水 （ 西南 ） 指定 路线 班车 接送 ； 3 . 周末 双休 ， 专业培训 ， 节日 福利 ， 年度 旅游 ， 商业保险 ， 团队 活动 。 4 . 提供 一个月 500 租房 补贴,本科,2,2024-09-09,法雷奥佛山冷却,佛山省三水区佛山市三水区基业大道2号,汽车|机械|制造,301~1000人,2024,佛山
管理研究实习生,115,3个月,： 1 .   协助 企业 人才 发展 、 组织 管理 领域 相关 理论 、 工具 、 标杆 企业 实操 案例 研究 。 2 .   协助 相关 资料 收集 、 整理 、 分析 PPT 报告 出具 。 3 .   协助 案例 编辑 、 方案 撰写 。 4 .   部门 日常 协调 及其 他 支持 。 ： 1 .   本科 及 以上 在读 ， 人力资源 、 工商 / 行政 管理 、 社科类 专业 优先 ； 具备 管理 咨询 、 人力资源 实习 经验 优先 ； 2 .   熟练 使用 office 办公 软件 ， PPT 排版 结构 熟悉 ， 能 快速 逻辑 完成 PPT 编制者 优先 ； 3 .   较 强 逻辑 分析 能力 及 文字 组织 能力 ； 富有 责任心 ， 执行力 强 ， 主动 沟通 ， 善于 学习 ； 4 . 远程 实习 ， 尽快 到 岗 ， 每周 不少 于 4 天 ， 稳定 实习 3 个 月 以上 ， 可 长期 实习 优先 。 ： 1 .   实习 补助 + 专项 奖励 ， 随 时间 能力 做 阶段 上调 2 .   理论 + 实操 应用 方法 学习 3 .   专业 老师 带教 ， 成长 空间 大 ， 团队 氛围 好 4 .   内部 职业辅导 及 留用 机会,本科,5,2024-09-21,鼎帷咨询,省,咨询/法律/人力资源,11~50人,2024,
人力资源管理研究实习生,115,3个月,： 1 .   协助 人力 资源管理 、 任职 资格 人才 盘点 、 人才培养 、 人才 发展 领域 相关 理论 、 工具 、 标杆 企业 实操 案例 研究 。 2 .   协助 相关 资料 收集 、 整理 、 分析 PPT 报告 撰写 美化 。 3 .   协助 人力 资源管理 咨询 项目 方案 成果 材料 撰写 。 4 .   部门 日常 协调 及其 他 支持 。 ： 1 .   本科 及 以上 在读 ， 人力资源 、 工商 / 行政 管理 、 社科类 专业 优先 ； 具备 管理 咨询 、 人力资源 实习 经验 优先 ； 2 .   熟练 使用 office 办公 软件 ， 熟悉 PPT 报告 编绘 制作者 优先 ； 3 .   较 好 逻辑 分析 能力 及 文字 组织 能力 ； 4 . 富有 责任心 ， 执行力 强 ， 主动 沟通 ， 善于 学习 ； 5 . 远程 实习 ， 尽快 到 岗 ， 每周 不少 于 4 天 ， 稳定 实习 3 个 月 以上 ， 可 长期 实习 优先 。 ： 福利待遇 ： 1 .   实习 补助   80 - 150 元 / 天 + 专项 奖励 ， 随 时间 能力 阶段 上调 2 .   人力 资源管理 全 模块 理论 学习 + 实操 应用 方法 学习 3 .   专业 老师 带教 ， 成长 空间 大 ， 团队 氛围 好 4 .   内部 职业辅导 及 留用 机会 ： 1 . 实习 补助 （ 80 - 120 元 / 天 ） + 专项 奖励 ， 随 时间 能力 阶段 上调 2 . 人力 资源管理 全 模块 理论 + 应用 方法 学习 ， 咨询 专业 视角 + 管理 实操 视角 多维 学习 3 . 咨询 创新 模式 赋能 、 行业 优秀 老师 带教 ， 团队 氛围 好 4 . 时间 灵活 可 协调 ， 可 参与 长期 赋能 计划 5 . 实习 证明 ， 优秀者 职业辅导 推荐 机会,本科,2,2024-09-21,鼎帷咨询,省,咨询/法律/人力资源,11~50人,2024,
数据内容编辑实习,125,3个月,： 1 . 负责 收集整理 所 负责 行业 下 各种 创业 公司 相关 信息 ； 2 . 各个 来源 项目 信息 整理 成 标准化 描述 ， 比如 公司 介绍 、 产品简介 、 团队 介绍 、 标签 体系 ； 3 . 缺失 或 错误 信息 补全 、 完善 、 更新 。 ： 1 . 善于 利用网络 搜索 信息 ， 并 整理 ； 2 . 做事 细心 、 耐心 ， 高 执行力 ， 善于 长时间 处理 重复 任务 ； 3 . 每周 保证 出勤 4 天 ， 以及 3 个 月 以上 实习 。 ： 实习 证明 零食 、 下午茶 各种 团建 活动,本科,5,2024-09-25,IT桔子,北京省朝阳区三里屯SOHOA座1503A,互联网|游戏|软件,51~100人,2024,北京
新媒体运营实习,110,3个月,： 1 、 负责 公司 海外 社交 媒体 平台 日常 运营 管理 ， 包括 但 不 限于 Facebook 、 Twitter 、 Instagram 。 2 、 制定 并 执行 社交 媒体 内容 计划 ， 提升 品牌 影响力 用户 参与度 。 3 、 跟踪 分析 社交 媒体 数据 ， 根据 数据 反馈 优化 内容 策略 。 4 、 团队 协作 ， 参与 创意 讨论 ， 提出 创新 社交 媒体 运营 方案 。 5 、 监控 社交 媒体 趋势 ， 及时 把握 行业动态 。 ： 1 、 本科 及 以上学历 ， 市场营销 、 传媒 、 广告 、 计算机科学 相关 专业 优先 。 2 、 熟悉 海外 社交 媒体 平台 ， 日常 使用 习惯 ， 了解 各 平台 运营 规则 特点 。 3 、 科技 互联网 、 人工智能 领域 浓厚兴趣 ， 能够 快速 捕捉 行业 热点 。 4 、 具备 良好 英语 沟通 能力 ， 能够 无障碍 浏览 编辑 英文 内容 。 5 、 创意 思维 ， 能够 独立 撰写 编辑 吸引 人 社交 媒体 内容 。 6 、 具备 良好 团队 合作 精神 自我 驱动 能力 。 7 、 上网 翻墙 方便 ， 能够 保证 期间 网络连接 稳定 。,本科,2,2024-09-25,IT桔子,北京省朝阳区北京市朝阳区三里屯SOHOA座1503A,互联网|游戏|软件,51~100人,2024,北京
分析师实习,125,3个月,： 1 ， 日常 关注 并 搜集 一级 市场 （ 私募 股权 投资 ） 最新 投融资 交易 动态 ， 输出 每周 投融资 速递 ； 2 ， 支持 并 配合 全职 分析师 做 年度 一级 市场 统计分析 报告 ， 具体 包括 数据 清洗 、 统计 分析 ； 3 ， 辅助 分析师 做 其他 行业 报告 资料 储备 。 ： 1 ， 全日制 本科 以上学历 ； 2 ， 数据 敏感 、 行事 严谨 ， 较 强 逻辑 思考 能力 ， 能 及时发现 数据分析 中 隐含 变化 问题 ； 3 ， 数量 掌握 office 软件 （ 尤其 Excel ） 。 4 ， 掌握 专业 数据分析 工具 者 优先 ； 4 ， 一级 市场 创业投资 发展 感兴趣 者 优先 。,本科,1,2024-09-25,IT桔子,北京省朝阳区三里屯SOHOA座1503A,互联网|游戏|软件,51~100人,2024,北京
文档编辑实习生,205,3个月,： 【 岗位职责 】 1 、 负责 文档 工程 整理 编辑 ； 2 、 协助 文档 审核 ； 3 、 协助 视频 制作 ； ： 【 任职 】 1 、 会 使用 视频 制作 软件 比如 ： 会声 会影 ； 2 、 视频剪辑 能力 强 ； 3 、 文字 功底 较强 ； 4 、 学习 能力 强 ， 具备 强烈 耐心 责任心 ， 按时 按质 完成 各项 安排 5 、 市场 、 编导 、 广告 、 新闻 、 英语 相关 专业,本科,5,2024-09-05,用友,北京省海淀区北京市海淀区北清路68号用友产业园,互联网|游戏|软件,3001人及以上,2024,北京
翻译项目助理,135,3个月,： 1 、 协助 项目经理 做 文件 整理 1 ） 译前 处理 ： 指定 系统 上 找到 需要 翻译 内容 ， 汇总 整理 到 表格 中 2 ） 译 后处理 ： 已经 翻译 好 内容 重新 上传 系统 2 、 协助 处理 客户 邮件 ， 做好 基础 分类 回复 3 、 系统 操作 ： 协助 系统 信息 录入 、 填写 ： 1 、 英语 相关 专业 在校生 ， 每周 可 出勤 4 天及 以上 ， 能 连续 实习 3 个 月 以上 优先 2 、 熟练 使用 各类 办公 软件 ， 会 使用 trados 更佳 3 、 细致 有条理,本科,2,2024-09-25,智生道,上海省黄浦区六合路98号港陆黄浦中心,生活服务,1001~3000人,2024,上海
基础运营实习生,110,4个月,： 安卓端 1 . 负责 审核 开发者 提交 安卓 应用 ， 确保 其 符合 相关 政策 法规 ； 2 . 开发 团队 沟通 ， 解答 关于 应用 审核 问题 ； 3 . 应用 详细 测试 ， 发现 并 报告 潜在 问题 ； 4 . 及时 更新 应用 审核 指南 ， 确保 团队 遵循 最佳 实践 ； 5 . 参与 应用 审核 流程 优化 ， 提高 审核 效率 。 PC 端 1 . 负责 上传 pc 应用 ， 针对 发现 问题 及时 核实 上报 ， 并 导师 共同 制定 解决方案 ; 2 . 按照 上架 PC 应用 详细 测试 ， 包含 下载 、 安装 、 卸载 多个 场景 ， 发现 并 报告 潜在 问题 ; 3 . 负责 数据 采集 、 整理 ， 业务 提供数据 支持 ; 4 . 参与 PC 应用 相关 临时 项目 ， 如 数据 清洗 、 场景 验证 。 ： 1 、 大三 、 大四 在校生 ， 专业 不限 2 、 做事 细致 ， 高度 责任心 ， 擅于 沟通 ， 耐心 ， 具有 良好 团队 协作 能力 3 、 热爱 移动 互联网 行业 ， 当前 潮流 APP 较 熟悉 ， 基础 计算机 常识 4 、 熟练 使用 办公 软件 5 、 实习 时间 ： 四个 月 以上 ， 一周 五天 6 、 时间 ： 工作日 9 : 30 至 18 : 30 ： 1 . 丰富 应用 审核 实践经验 ， 帮助 您 积累 宝贵 行业 知识 ； 2 . 一支 充满活力 专业 团队 共事 ， 共同 成长 ； 3 . 灵活 时间 舒适 办公 环境 ； 4 . 有趣 团队 活动 丰富 员工福利 。,本科,3,2024-09-27,成都联想,成都省武侯区天府软件园C区C12F11,互联网|游戏|软件,3001人及以上,2024,成都
应用商店内容实习生,110,6个月,： 1 、 负责 商店 社区 话题 策划 ， 上线 ， 积极参与 互动 ， 发现 用户 兴趣 点 ； 2 、 负责 应用 商店 内 专题 内容 输出 、 发布 ； 3 、 负责 商店 壁纸 内容 上下 架 ， 专题 榜单 制作 、 更换 ； 4 、 负责 商店 日常 内容 维护 ； 5 、 其他 领导 安排 事项 ： 1 、 本科 、 中文 / 计算机相关 专业 ， 擅长 内容 、 推文 写作 ； 2 、 数码 、 科技 领域 感兴趣 优先 ； 3 、 思维 开放 、 性格 爽朗 ， 热衷 网上 冲浪 ； 4 、 base 成都 ， 实习 时间 6 个 月 优先 ；,本科,2,2024-09-27,成都联想,成都省武侯区天府软件园C区C12F11,互联网|游戏|软件,3001人及以上,2024,成都
